threshold,precision,recall,f1,tp,fp,fn,revenue_saved,campaign_cost,net_benefit
0.1,0.378803777544596,0.9652406417112299,0.5440844009042954,361,592,13,259920,19060,240860
0.15000000000000002,0.40581395348837207,0.9331550802139037,0.5656401944894651,349,511,25,251280,17200,234080
0.20000000000000004,0.43036386449184444,0.9171122994652406,0.5858240819812126,343,454,31,246960,15940,231020
0.25000000000000006,0.4448979591836735,0.8743315508021391,0.5897204688908927,327,408,47,235440,14700,220740
0.30000000000000004,0.47128129602356406,0.8556149732620321,0.6077872744539411,320,359,54,230400,13580,216820
0.3500000000000001,0.48966613672496023,0.8235294117647058,0.6141575274177468,308,321,66,221760,12580,209180
0.40000000000000013,0.519298245614035,0.7914438502673797,0.6271186440677966,296,274,78,213120,11400,201720
0.45000000000000007,0.5440313111545988,0.7433155080213903,0.6282485875706214,278,233,96,200160,10220,189940
0.5000000000000001,0.5736607142857143,0.6871657754010695,0.6253041362530414,257,191,117,185040,8960,176080
0.5500000000000002,0.5960099750623441,0.6390374331550802,0.616774193548387,239,162,135,172080,8020,164060
0.6000000000000002,0.6257309941520468,0.5721925133689839,0.5977653631284915,214,128,160,154080,6840,147240
0.6500000000000001,0.6576271186440678,0.5187165775401069,0.5799701046337816,194,101,180,139680,5900,133780
0.7000000000000002,0.6952789699570815,0.43315508021390375,0.5337726523887973,162,71,212,116640,4660,111980
0.7500000000000002,0.7206703910614525,0.3449197860962567,0.4665461121157323,129,50,245,92880,3580,89300
0.8000000000000002,0.7348484848484849,0.25935828877005346,0.383399209486166,97,35,277,69840,2640,67200
0.8500000000000002,0.8117647058823529,0.18449197860962566,0.3006535947712418,69,16,305,49680,1700,47980
